textual_description,label
"start entry dbtap/0.0.3/dbtap.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry trillOS/0.1.0, no ruby file, end of entry",0
"start entry ruby-ioc/0.0.2/ruby-ioc.gemspec, use operating system module call, use URL, end of entry",0
"start entry panda_canvas/0.6.2/lib/panda_canvas.rb, no notable behavior, end of entry",0
"start entry zoo_pass/0.0.2/zoo_pass.gemspec, use operating system module call, use URL, end of entry",0
"start entry jquery-taggable-rails/0.0.3/jquery-taggable-rails.gemspec, use operating system module call, use URL, end of entry",0
"start entry crypto_cold_store_client/1.3.0/crypto_cold_store_client.gemspec, use operating system module call, use URL, end of entry",0
"start entry cookstyle-ng/8.0.0/cookstyle.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry airbrake_statsd/0.2.1/airbrake_statsd.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry omniauth-shikimori-oauth2/1.0.2/omniauth-shikimori-oauth2.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry rreplay/0.2.3/rreplay.gemspec, use operating system module call, use URL, end of entry",0
"start entry bag_kadaster_client/1.0.0/bag_kadaster_client.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry dxruby_rp5/0.0.4/dxruby_rp5.gemspec, use operating system module call, use URL, end of entry",0
"start entry active-application/0.3.1/active-application.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry blogkori/0.1.1, no ruby file, end of entry",0
"start entry spree_shipstation/2.0.1, no ruby file, end of entry",0
"start entry allq-client/1.1.1/allq-client.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry ruby-pg-extras/5.6.12/ruby-pg-extras.gemspec, use operating system module call, use URL, end of entry",0
"start entry commentbox/0.3.4/lib/commentbox.rb, no notable behavior, end of entry",0
"start entry inspec-iggy/0.8.0/inspec-iggy.gemspec, use URL, end of entry",0
"start entry activemodel-can-validator/0.0.2/activemodel-can-validator.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry bluewall/1.0.2/lib/bluewall.rb, use operating system module call, end of entry",0
"start entry fluent_plugin-datadog-statsd/0.0.4/fluent_plugin-datadog-statsd.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry fluent_plugin-statsd-event/0.1.1/fluent_plugin-statsd-event.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry http-statsd/0.0.2/http-statsd.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry geokit-with-premier-support/1.5.0/lib/geokit.rb, no notable behavior, end of entry",0
"start entry the-plain-portfolio/1.0.0, no ruby file, end of entry",0
"start entry cloudstats/0.6.0/cloudstats.gemspec, use operating system module call, use URL, end of entry",0
"start entry pannier/0.6.0/lib/pannier.rb, evaluate code at run-time, end of entry",0
"start entry generategem/2.0.0/lib/generategem.rb, no notable behavior, end of entry",0
"start entry fluent-plugin-mongo-typed/0.1.0/fluent-plugin-mongo-typed.gemspec, use URL, end of entry",0
"start entry activerecord-suppress-range_error/0.1.1/activerecord-suppress-range_error.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry trove_gem/0.0.4/lib/trove_gem.rb, import network module, use URL, end of entry",0
"start entry adequate-serializer/0.3.1/adequate-serializer.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry mail_safe/0.3.4/mail_safe.gemspec, use operating system module call, use URL, end of entry",0
"start entry aliyun_rds/0.0.1/aliyun_rds.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry guard-predictionio/0.0.1/guard-predictionio.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry ames_by_type/0.2.0/ames_by_type.gemspec, use URL, end of entry",0
"start entry cocoapods-blocklist/0.1.4/cocoapods-blocklist.gemspec, use operating system module call, use URL, end of entry",0
"start entry capistrano_telegram-notification/0.1.1/capistrano_telegram-notification.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry TOSwimScraper/0.1.8/lib/scraper.rb, import network module, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry optimize_ab/0.0.11/optimize_ab.gemspec, use operating system module call, end of entry",0
"start entry redirect_safely/1.0.0/redirect_safely.gemspec, use operating system module call, use URL, end of entry",0
"start entry mongoid_hash_query/0.2.5/mongoid_hash_query.gemspec, use operating system module call, use URL, end of entry",0
"start entry font_awesome-sass/5.12.0/font_awesome-sass.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry compass-easel/0.0.2/lib/easel.rb, no notable behavior, end of entry",0
"start entry fastlane-plugin-telegram-proxy/0.1.5/lib/fastlane/plugin/telegram.rb, use base64 string, use base64 string, end of entry",1
"start entry nhtsa-vin/0.0.8/nhtsa-vin.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry restful_route_version/0.0.3/restful_route_version.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry fastlane-plugin-telegram-proxy/0.1.6/lib/fastlane/plugin/telegram.rb, no notable behavior, end of entry",1
"start entry amoeba-deploy_tools/0.0.10/amoeba-deploy_tools.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry resque-compressible/0.0.1/resque-compressible.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry cwsrb/0.5.0/cwsrb.gemspec, use operating system module call, use URL, end of entry",0
"start entry faker_spanish_documents/0.1.0/faker_spanish_documents.gemspec, use operating system module call, use URL, end of entry",0
"start entry ribbon-plugins/0.2.4/lib/ribbon/plugins.rb, no notable behavior, end of entry",0
"start entry aliyun_push/0.1.0/aliyun_push.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry sidekiq-delay_extensions/7.1.0/sidekiq-delay_extensions.gemspec, use URL, end of entry",0
"start entry activerecord_like/2.2/activerecord_like.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry active-admin_import/4.2.0/active-admin_import.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry agnostic_duplicate/1.0.1/agnostic_duplicate.gemspec, use operating system module call, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry sofa_blog/0.1.3/sofa_blog.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry apiway/0.0.6/lib/apiway.rb, no notable behavior, end of entry",0
"start entry domino_simulator/0.0.1/domino_simulator.gemspec, use operating system module call, end of entry",0
"start entry jquery-datatables/1.10.20/jquery-datatables.gemspec, use operating system module call, use URL, end of entry",0
"start entry presentify/1.0.1/presentify.gemspec, use operating system module call, end of entry",0
"start entry handlersocket/0.0.2/lib/handlersocket.rb, no notable behavior, end of entry",0
"start entry vgenerator/0.1.3/vgenerator.gemspec, use URL, end of entry",0
"start entry testdrive/0.2, no ruby file, end of entry",0
"start entry jquery-jpanelmenu-rails/1.3.0/jquery-jpanelmenu-rails.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry alexa-plugin_generator/0.2.0/alexa-plugin_generator.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry proxytest/0.0.0/proxytest.gemspec, use operating system module call, use URL, end of entry",0
"start entry blockchain_wallet/0.0.6/blockchain_wallet.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry rubyserial-with-blocking/0.2.3/rubyserial.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry alphabetic-paginate/0.0.12/alphabetic-paginate.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry date_plus/0.0.2/date_plus.gemspec, use operating system module call, use URL, end of entry",0
"start entry claide_plugins/0.9.2/claide_plugins.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry odf_core/0.2.0/odf_core.gemspec, use operating system module call, use URL, end of entry",0
"start entry amazon_search/1.4.4/amazon_search.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry ast_utils/0.4.0/ast_utils.gemspec, use operating system module call, use URL, end of entry",0
"start entry loe-iclassify-interface/1.1.0/iclassify-interface.gemspec, use URL, end of entry",0
"start entry o-inifile/4.0.1/inifile.gemspec, use operating system module call, use URL, end of entry",0
"start entry active-model_serializers-cancan/0.0.2/active-model_serializers-cancan.gemspec, use base64 string, use base64 string, end of entry",1
"start entry rack-utf8_sanitizer/1.10.1/rack-utf8_sanitizer.gemspec, use operating system module call, use URL, end of entry",0
"start entry pelargir-vizres/0.5/vizres.gemspec, use URL, end of entry",0
"start entry pullrequest/0.2.0/pullrequest.gemspec, use operating system module call, use URL, end of entry",0
"start entry sugarcube/4.0.0/lib/sugarcube-all.rb, no notable behavior, end of entry",0
"start entry bootstrap-application-wizard-rails/13.3.3/lib/bootstrap-application-wizard-rails.rb, no notable behavior, end of entry",0
"start entry nelsonagamata_palindrome/0.2.1/nelsonagamata_palindrome.gemspec, use operating system module call, use URL, end of entry",0
"start entry capn_proto-rpc/0.1.1.alpha.rpc/capn_proto.gemspec, use operating system module call, use URL, end of entry",0
"start entry stuck-it_up/0.1.0/stuck-it_up.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry active_model-email-validator/1.0.2/active_model-email-validator.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry commonmarker/2.3.2/lib/commonmarker.rb, use operating system module call, end of entry",0
"start entry yolodice-client/0.1.6/lib/yolodice_client.rb, import network module, end of entry",0
"start entry cat_dog/1.0.0/cat_dog.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry assets-pipeline/0.0.3/assets-pipeline.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry sqoot/1.0.0/sqoot.gemspec, use operating system module call, use URL, end of entry",0
"start entry crowdfund/1.0.3/lib/crowdfund/die.rb, no notable behavior, end of entry",0
"start entry tz/0.0.1/tz.gemspec, use operating system module call, use URL, end of entry",0
"start entry rack_envinspector/0.1/rack_envinspector.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry xmlenc/0.8.0/xmlenc.gemspec, use operating system module call, use URL, end of entry",0
"start entry omniauth_ebay/1.0/omniauth_ebay.gemspec, use operating system module call, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry rack-uploads/0.2.1/rack-uploads.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry markpercival-twitter_getter/1.0.6/lib/twitter_getter.rb, use URL, end of entry",0
"start entry movie-spider/0.0.2/movie-spider.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry active-record_fix_integer_limit/0.1.7/active-record_fix_integer_limit.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry dukpt/0.0.5/dupkt.gemspec, use operating system module call, use URL, end of entry",0
"start entry bard_rake/0.17.3/bard_rake.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry trek-patrest/0.0.2/lib/patrest.rb, import network module, end of entry",0
"start entry links_processor/0.5.1/links_processor.gemspec, use operating system module call, end of entry",0
"start entry git-multirepo/78.0/git-multirepo.gemspec, use operating system module call, use URL, end of entry",0
"start entry multi-movingsign/0.0.1/multi-movingsign.gemspec, use base64 string, use base64 string, end of entry",1
"start entry choptest/0.1.0, no ruby file, end of entry",0
"start entry airbrake_graylog2/0.0.4/airbrake_graylog2.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry active-search/1.0.1/active-search.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry 3months-staff-schedule/0.0.3/3months-staff-schedule.gemspec, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry abbyy_ruby/0.2.2/abbyy_ruby.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry pry-coolline/0.2.6/pry-coolline.gemspec, use operating system module call, use URL, end of entry",0
"start entry rebase/1.1.0/lib/rebase.rb, no notable behavior, end of entry",0
"start entry beer-bash/0.1.0/beer-bash.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry simple-jekyll-theme/1.0.0, no ruby file, end of entry",0
"start entry direct_upload-gcs/0.1.1/direct_upload-gcs.gemspec, use operating system module call, use URL, end of entry",0
"start entry milkman/0.0.5/milkman.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry hacker_news/0.3.0/hacker_news.gemspec, use URL, end of entry",0
"start entry jekyll-rp-logs/0.5.0/jekyll-rp-logs.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry dottie/0.0.3/dottie.gemspec, use operating system module call, use URL, end of entry",0
"start entry telegram-bot_middleware/0.3.2/telegram-bot_middleware.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry active-model_serializers_cancancan/0.5.0/active-model_serializers_cancancan.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry barely-searchable/1.0.0/barely-searchable.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry brewdler/1.1.1/brewdler.gemspec, use operating system module call, end of entry",0
"start entry postgresql-lambda/1.3.4.3/pg.gemspec, use operating system module call, use URL, end of entry",0
"start entry travisredding/0.0.1/travisredding.gemspec, use operating system module call, end of entry",0
"start entry centurian/0.0.3/centurian.gemspec, use operating system module call, end of entry",0
"start entry active-replicas/0.5.1/active-replicas.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry blacklight-advanced_search/7.0.0/blacklight-advanced_search.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry acme_leeway/0.0.1/acme_leeway.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry ebay-enterprise_affiliate_network/1.0.3/ebay-enterprise_affiliate_network.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry solaris-prototype/1.0.0/lib/solaris.rb, no notable behavior, end of entry",0
"start entry readonly_party/1.0.0/readonly_party.gemspec, use operating system module call, use URL, end of entry",0
"start entry sidekiq_parameters_logging/1.4.1/lib/sidekiq_parameters_logging.rb, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry redhead/0.0.9/redhead.gemspec, use URL, end of entry",0
"start entry rubysl-securerandom/2.0.0/rubysl-securerandom.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry apple-dep_client/2.2.2/apple-dep_client.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry bitfinex-rb/1.0.8/lib/errors.rb, no notable behavior, end of entry",0
"start entry activerecord-globalize/1.0.0/activerecord-globalize.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry indonesian-province/0.0.2/indonesian-province.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry benchmark_plot/0.1.1/benchmark_plot.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry act-as_enumerable/0.1.3/act-as_enumerable.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry asset-link/0.0.2/asset-link.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry freerangestylin/0.1.6/lib/freerange_stylin.rb, no notable behavior, end of entry",0
"start entry namskara/0.0.3/lib/namskara.rb, no notable behavior, end of entry",0
"start entry secondhand_spider/0.0.1/secondhand_spider.gemspec, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry fake_arel/1.5.1/fake_arel.gemspec, use URL, end of entry",0
"start entry applied-css/0.0.5/applied-css.gemspec, use operating system module call, use base64 string, use base64 string, end of entry",1
"start entry aastra-xml_api/1.1.4/aastra-xml_api.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry android-lint_translate_checkstyle_format/0.2.0/android-lint_translate_checkstyle_format.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry has-logs/0.7.0/has-logs.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry active-model-attributes_validation/0.0.1/active-model-attributes_validation.gemspec, use base64 string, use base64 string, end of entry",1
"start entry arel_columns_hash/0.1.0/arel_columns_hash.gemspec, use operating system module call, use URL, end of entry",0
"start entry botanicus-get/0.0.1/bin/get.rb, no notable behavior, end of entry",0
"start entry lita_onewheel-beer-craftpourhouse/1.0.0/lita_onewheel-beer-craftpourhouse.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry valdemaximus-conduit/1.2.0/valdemaximus-conduit.gemspec, use URL, end of entry",0
"start entry active-record_stats/0.1.5/active-record_stats.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry awesome-bot/1.18.0/awesome-bot.gemspec, use base64 string, use base64 string, end of entry",1
"start entry adapter_sqlite3/0.1.0/adapter_sqlite3.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry blockchain_wallet/0.0.7/blockchain_wallet.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry batch-translations/0.1.3/batch-translations.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry airbrake_api/4.6.1/airbrake_api.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry colour_parser/1.0.1, no ruby file, end of entry",1
"start entry emay_soap/0.0.2/emay_soap.gemspec, use operating system module call, use URL, end of entry",0
"start entry sanford/0.19.1/sanford.gemspec, use operating system module call, use URL, end of entry",0
"start entry action-subscriber/5.1.5/action-subscriber.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry sftui/0.1.0/sftui.gemspec, use operating system module call, use URL, end of entry",0
"start entry aws-blue_green_deploy/0.0.1/aws-blue_green_deploy.gemspec, use base64 string, use base64 string, end of entry",1
"start entry cf-swearjar/1.1.1/cf-swearjar.gemspec, use operating system module call, use URL, end of entry",0
"start entry textillate/0.0.0/textillate.gemspec, use operating system module call, use URL, end of entry",0
"start entry veracode-firewall-demo/0.1.0/lib/hello.rb, no notable behavior, end of entry",0
"start entry acts-as_better_tree/1.0.0/acts-as_better_tree.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry devino-sms/0.0.2/devino-sms.gemspec, use operating system module call, use base64 string, use base64 string, end of entry",1
"start entry active-replica/0.2.0/active-replica.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry github_release-stats/0.0.2/github_release-stats.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry bosh-cli_plugin_consul/0.1.0/bosh-cli_plugin_consul.gemspec, use base64 string, use base64 string, end of entry",1
"start entry time_distance/0.1.2/time_distance.gemspec, use operating system module call, use URL, end of entry",0
"start entry biblesearch_api/1.2.0/biblesearch_api.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry milkfarm-onix/0.8.13/lib/onix.rb, no notable behavior, end of entry",0
"start entry englishext/0.1.2/lib/englishext.rb, use operating system module call, end of entry",0
"start entry dry_validation_parser/0.1.12/lib/dry_validation_parser.rb, no notable behavior, end of entry",0
"start entry twitter_vine/0.1.9/twitter_vine.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry racker/0.2.0/lib/racker.rb, no notable behavior, end of entry",0
"start entry spider-html/0.1.9/spider-html.gemspec, use operating system module call, use base64 string, use base64 string, end of entry",1
"start entry speed-spider/0.0.2/speed-spider.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry makimono/0.2.0/makimono.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry headspace/0.0.0/headspace.gemspec, use operating system module call, use URL, end of entry",0
"start entry service-utils/0.2.0/service-utils.gemspec, use operating system module call, use URL, end of entry",0
"start entry attr_bitwise/0.0.4/attr_bitwise.gemspec, use operating system module call, end of entry",0
"start entry hexspace/0.3.0/lib/hexspace.rb, no notable behavior, end of entry",0
"start entry hola-amiwo/0.0.2/lib/hola_amiwo.rb, no notable behavior, end of entry",0
"start entry prof/0.44.0/lib/prof/marketplace_service.rb, no notable behavior, end of entry",0
"start entry android_publisher/0.0.14/android_publisher.gemspec, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry telegram_bot-types/0.6.1/telegram_bot-types.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry capistrano-telegram-notification/0.1.1/capistrano-telegram-notification.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry sonar_push_connector/0.8.0/lib/sonar_push_connector.rb, import network module, end of entry",0
"start entry beer-in_the_evening/0.0.7/beer-in_the_evening.gemspec, use operating system module call, use base64 string, use base64 string, end of entry",1
"start entry contributors-stats/1.0.0/contributors-stats.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry naniyatsu/0.0.2/naniyatsu.gemspec, use operating system module call, use URL, end of entry",0
"start entry fluent_plugin-dogstatsd-mediba/0.0.9/fluent_plugin-dogstatsd-mediba.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry sluggable_eva/0.0.0/lib/sluggable_eva.rb, no notable behavior, end of entry",0
"start entry bin-search/0.1/bin-search.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry omniauth-identitas/0.2.3/omniauth-identitas.gemspec, use operating system module call, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",0
"start entry rubber/3.2.2/rubber.gemspec, use operating system module call, use URL, end of entry",0
"start entry acpc-poker_basic_proxy/3.2.2/acpc-poker_basic_proxy.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry omnicat/0.3.0/omnicat.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
"start entry cohitre-relaxdb/0.2.2/lib/relaxdb.rb, import network module, import file system module, end of entry",0
"start entry ruboty-hitozuma/0.0.3/ruboty-hitozuma.gemspec, use operating system module call, use URL, end of entry",0
"start entry approval_ratings-cli-app/0.1.0/approval_ratings-cli-app.gemspec, use base64 string, use base64 string, end of entry",1
"start entry asset-pipeline/0.2.0/asset-pipeline.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry adapter-pstore/0.1.0/adapter-pstore.gemspec, use operating system module call, use URL, end of entry",0
"start entry Gitspotter/0.0.1/gitspotter.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",0
